
Summary for variables: education
     by categories of: country (Country_name)

         country |      mean        sd       min        p5       p50       p90       p99
 Solomon Islands |      2.53         .      2.53      2.53      2.53      2.53      2.53
    South Africa |  5.315556   1.57635      3.76      3.76      4.82      8.07      8.07
       Sri Lanka |  4.728889  .9469879      3.43      3.43      5.18      6.09      6.09
           Sudan |  1.032857  .5876426       .37       .37       .95      1.91      1.91
       Swaziland |  4.044286  1.428599      1.82      1.82      4.39      5.73      5.73
          Sweden |  9.118889  1.469783      7.47      7.47      9.22     11.36     11.36
     Switzerland |      9.07  1.267152       7.3       7.3       9.9     10.39     10.39
           Syria |  3.096667  1.721003       .99       .99      2.86      5.74      5.74
          Taiwan |  5.976667  1.904613      3.32      3.32      6.37      8.53      8.53
        Thailand |      4.38  1.119498      3.15      3.15      3.77       6.1       6.1
            Togo |  1.461111  1.025176       .32       .32      1.62      2.83      2.83
         Tunisia |   2.25875  1.281332       .71       .71       2.2       4.2       4.2
          Turkey |     2.897  1.240135         1         1      2.53     4.685       4.8
          Uganda |  1.782222  .7639335      1.05      1.05      1.66      2.95      2.95
  United Kingdom |     8.156   .729234      7.17      7.17      8.09      9.19      9.35
   United States |     10.57  1.625628      7.94      7.94     10.86    12.215     12.25
         Uruguay |      5.98  .8846327      4.78      4.78      5.75      7.25      7.25
       Venezuela |     3.939  1.403847      2.01      2.01     4.135      5.48      5.61
          Zambia |  3.276667  1.530711       1.6       1.6      3.22      5.56      5.56
        Zimbabwe |  2.926667   1.25108      1.54      1.54      2.82      4.88      4.88
-----------------+----------------------------------------------------------------------
           Total |   4.76902  2.881695       .04       .69      4.49      8.81     11.43
----------------------------------------------------------------------------------------
